1865,8,2,Wednesday,DWR_1865_08-3.jpg
NAIRN,29.65,51,0.58,
ABERDEEN,29.63,50,0.18,
LEITH,29.66,53,0,
ARDROSSAN,29.64,53,0,
GREENCASTLE,29.68,51,0.82,
SHIELDS,29.65,52,0,
SCARBOROUGH,29.61,52,0.2,
HELIGOLAND,29.76,58,0.08,
LIVERPOOL,29.65,50,0.7,
HOLYHEAD,29.62,53,0.13,
GALWAY,999,999,999,
YARMOUTH,29.72,55,0,
VALENTIA,29.84,56,0.07,
QUEENSTOWN,999,999,999,
PEMBROKE,999,999,999,
LONDON,29.73,55,0,
CAPECLEAR,29.78,57,0,
DOVER,999,999,999,
PORTSMOUTH,29.72,55,0.53,
WEYMOUTH,29.72,999,999,
PLYMOUTH,29.77,58,0.35,
PENZANCE,29.78,56,0.27,
BREST,29.88,57,0.12,
LORIENT,29.88,63,0,
ROCHEFORT,29.96,61,0,
