1863,8,22,Saturday,DWR_1863_08-19.jpg
NAIRN,29.95,57,1,0.09
ABERDEEN,29.96,55,3,0
LEITH,29.98,61,999,0
SHIELDS,30.05,58,4,0
SCARBOROUGH,30.06,54,3,0
GREENCASTLE,30.04,58,2,0.14
GALWAY,30.09,62,1,0
VALENTIA,30.11,61,4,0.15
QUEENSTOWN,999,62,1,0
LIVERPOOL,30.08,59,2,0.03
HOLYHEAD,30.04,60,1,0
PEMBROKE,30.13,61,1,0
PENZANCE,30.18,62,2,0
BREST,30.2,63,5,0
LORIENT,30.16,61,2,0.08
ROCHEFORT,30.24,61,2,0
PLYMOUTH,30.16,64,4,0
WEYMOUTH,30.12,63,3,0
PORTSMOUTH,30.1,59,2,999
LONDON,30.12,56,3,0
DOVER,30.12,62,3,0
YARMOUTH,30.09,56,2,0
HELIGOLAND,29.98,55,0,0.05
