1862,8,13,Wednesday,DWR_1862_08-10.jpg
NAIRN,29.7,58,57,0.23
ABERDEEN,29.71,58,56,0.16
LEITH,29.75,61,59,0
BERWICK,29.79,60,57,0.41
ARDROSSAN,29.73,58,56,0.53
PORTRUSH,29.79,55,52,0
GALWAY,29.86,60,59,0.35
VALENTIA,29.9,61,60,0
QUEENSTOWN,29.92,62,60,0
HOLYHEAD,29.86,58,57,0.1
LIVERPOOL,29.68,62,59,0.05
PEMBROKE,29.95,60,59,0
PENZANCE,29.94,62,61,0
PLYMOUTH,30.02,62,61,0
JERSEY,30.09,64,60,0
WEYMOUTH,30.02,62,59,0
PORTSMOUTH,30,62,58,0
DOVER,30.02,64,60,0
LONDON,30.02,60,57,0
YARMOUTH,29.94,60,55,0
SCARBOROUGH,29.87,60,58,0
SHIELDS,29.82,60,58,0
HELIGOLAND,30.01,59,58,0.17
HELDER,30,61,999,0
COPENHAGEN,29.97,56,999,0
BREST,30.07,60,999,0
BAYONNE,999,68,999,0
LISBON,29.97,73,999,0
