1862,8,2,Saturday,DWR_1862_08-1.jpg
NAIRN,29.68,59,54,0
ABERDEEN,29.73,59,54,0
LEITH,29.81,64,57,0
BERWICK,29.81,60,54,0
ARDROSSAN,29.77,57,55,0
PORTRUSH,29.67,54,51,0
GALWAY,29.93,58,55,0
VALENTIA,30.01,58,56,0
QUEENSTOWN,29.99,60,57,0
HOLYHEAD,29.92,59,56,0
LIVERPOOL,29.94,60,57,0.01
PEMBROKE,30,59,58,0
PENZANCE,30.09,61,60,0
PLYMOUTH,30.03,63,59,0
JERSEY,30.09,64,60,0
WEYMOUTH,30.04,63,59,0
PORTSMOUTH,29.99,64,60,0
DOVER,30.01,64,62,0
LONDON,30,61,57,0
YARMOUTH,29.94,66,61,0
SCARBOROUGH,29.89,59,56,0
SHIELDS,29.86,60,54,0
HELIGOLAND,30,62,61,0
HELDER,29.98,63,999,0
COPENHAGEN,30.02,66,999,0
BREST,30.07,57,999,0
BAYONNE,999,75,999,0
LISBON,30.04,68,999,0
