1863,12,22,Tuesday,DWR_1863_12-18.jpg
NAIRN,29.96,32,4,0.11
ABERDEEN,29.83,31,999,0.07
LEITH,29.98,34,4,0
ARDROSSAN,999,999,999,999
GREENCASTLE,30.07,39,3,0.15
GALWAY,30.17,45,1,0.17
VALENTIA,30.21,48,1,0.15
CAPE CLEAR,30.18,46,1,0
QUEENSTOWN,30.05,50,2,0
LIVERPOOL,29.93,42,3,0.09
HOLYHEAD,30.01,44,1,0.12
PEMBROKE,30,49,3,0
PENZANCE,30.13,51,2,0.15
BREST,30.16,50,1,0.39
LORIENT,30.08,50,1,0.04
ROCHEFORT,30.2,48,0,0.2
PLYMOUTH,29.94,50,1,0
WEYMOUTH,29.92,50,3,0
PORTSMOUTH,29.88,48,1,0.15
LONDON,29.8,43,3,0.08
DOVER,29.77,49,2,0
YARMOUTH,29.7,41,1,0
SCARBOROUGH,29.76,39,4,0.25
SHIELDS,29.91,35,5,0
HELIGOLAND,29.16,40,1,0.16
