1861,12,13,Friday,DWR_1861_12-12.jpg
NAIRN,29.1,52,49,999
ABERDEEN,29.19,49,48,999
LEITH,29.19,54,51,999
BERWICK,29.21,51,48,999
ARDROSSAN,29.14,52,?50,0.9
PORTRUSH,29.06,47,46,999
SHIELDS,29.28,50,49,999
GALWAY,29.13,42,41,999
SCARBOROUGH,29.4,49,48,999
LIVERPOOL,29.27,52,49,0.05
VALENTIA,29.17,45,44,999
QUEENSTOWN,29.05,?50,49,999
YARMOUTH,29.6,48,47,999
LONDON,29.54,51,49,999
DOVER,29.57,52,50,999
PORTSMOUTH,?29.50,51,50,999
PORTLAND,29.41,?51,50,0.11
PLYMOUTH,29.27,53,51,999
PENZANCE,29.2,53,52,999
COPENHAGEN,29.94,41,999,999
HELDER,29.76,44,999,999
BREST,29.38,52,999,999
BAYONNE,30.2,59,999,999
LISBON,999,999,999,999
