1863,8,19,Wednesday,DWR_1863_08-16.jpg
NAIRN,29.74,52,2,0.09
ABERDEEN,29.71,55,4,0
LEITH,29.76,56,3,0.06
SHIELDS,29.8,57,4,0
SCARBOROUGH,29.78,56,3,0
GREENCASTLE,29.75,56,3,0.21
GALWAY,29.96,59,4,0
VALENTIA,30.04,60,6,999
QUEENSTOWN,29.77,59,2,0
LIVERPOOL,29.85,56,3,0.05
HOLYHEAD,29.79,57,2,0.08
PEMBROKE,29.91,59,0,0.14
PENZANCE,30.03,59,1,0
BREST,30.12,59,2,0.04
LORIENT,30.12,59,4,0
ROCHEFORT,30.16,63,4,0
PLYMOUTH,30,59,1,0.15
WEYMOUTH,29.97,56,0,0.09
PORTSMOUTH,29.95,58,3,0.1
LONDON,29.94,55,3,0.02
DOVER,29.94,61,3,0.06
YARMOUTH,29.84,57,3,0
HELIGOLAND,29.61,57,0,0.58
