1862,7,29,Tuesday,DWR_1862_07-28.jpg
NAIRN,30,54,49,0
ABERDEEN,30.01,55,49,0
LEITH,?30.03,57,54,0
BERWICK,30.07,56,53,0
ARDROSSAN,30.05,55,53,0.13
PORTRUSH,999,54,52,0
GALWAY,30.18,57,54,0
VALENTIA,30.18,60,55,0
QUEENSTOWN,30.17,56,53,0
HOLYHEAD,30.11,57,54,0
LIVERPOOL,30.14,59,54,0
PEMBROKE,30.17,999,56,0
PENZANCE,30.19,60,59,0
PLYMOUTH,30.11,61,54,0
JERSEY,30.1,62,59,0
WEYMOUTH,30.11,61,54,0
PORTSMOUTH,30.07,60,54,0
DOVER,30.07,66,64,0
LONDON,30.1,59,55,0
YARMOUTH,30.09,62,57,0
SCARBOROUGH,30.1,58,54,0
SHIELDS,30.07,57,52,0
HELIGOLAND,30.1,60,57,0
HELDER,30.09,60,999,0
COPENHAGEN,30.09,57,999,0
BREST,30.1,58,999,0
BAYONNE,999,73,999,0
LISBON,30.12,70,999,0
