1863,8,21,Friday,DWR_1863_08-18.jpg
NAIRN,30.15,48,999,0
ABERDEEN,30.12,51,4,0
LEITH,30.15,52,3,0
SHIELDS,30.18,53,3,0
SCARBOROUGH,30.13,54,3,0
GREENCASTLE,30.15,54,2,0.05
GALWAY,30.18,60,4,0
VALENTIA,30.21,61,2,0.17
QUEENSTOWN,999,61,2,0
LIVERPOOL,30.19,58,6,0
HOLYHEAD,30.18,57,5,0
PEMBROKE,30.24,55,2,0
PENZANCE,30.27,58,999,0
BREST,30.28,55,0,0
LORIENT,30.2,54,2,0
ROCHEFORT,30.24,57,999,0
PLYMOUTH,30.26,56,3,0
WEYMOUTH,30.2,56,4,0
PORTSMOUTH,30.17,56,3,0.07
LONDON,30.19,53,4,0.01
DOVER,30.17,59,3,0.07
YARMOUTH,30.1,57,4,0
HELIGOLAND,29.79,58,0,0.14
