1862,1,18,Saturday,DWR_1862_01-18.jpg
NAIRN,29.73,36,34,999
ABERDEEN,29.87,35,34,999
LEITH,29.88,39,35,999
BERWICK,29.97,27,999,999
ARDROSSAN,29.83,38,36,0.17
PORTRUSH,29.69,42,41,999
SHIELDS,30.03,29,999,999
GALWAY,29.51,40,39,999
SCARBOROUGH,30.12,29,999,999
LIVERPOOL,29.99,30,999,999
VALENTIA,29.7,47,46,999
QUEENSTOWN,29.84,44,43,999
YARMOUTH,30.19,31,999,999
LONDON,30.15,30,999,999
DOVER,30.19,29,999,999
PORTSMOUTH,30.12,34,32,999
PORTLAND,30.07,35,32,999
PLYMOUTH,29.98,40,38,999
PENZANCE,29.96,42,41,0.15
COPENHAGEN,999,999,999,999
HELDER,30.26,999,999,999
BREST,29.97,50,999,999
BAYONNE,29.88,?30,999,999
LISBON,29.91,?66,999,999
