1862,3,18,Tuesday,DWR_1862_03-13.jpg
NAIRN,29.88,37,36,0
ABERDEEN,29.85,41,39,0
LEITH,29.85,41,39,0
BERWICK,29.82,44,42,0
ARDROSSAN,29.84,41,39,0
PORTRUSH,29.85,43,42,0
GALWAY,29.84,40,39,0
SHIELDS,29.78,42,41,0
SCARBOROUGH,29.74,42,41,0.25
HELIGOLAND,29.88,41,40,0
LIVERPOOL,29.8,43,42,0.05
QUEENSTOWN,29.81,49,48,0
VALENTIA,29.8,46,45,0
YARMOUTH,29.8,42,41,0
LONDON,29.82,41,40,0.21
DOVER,29.82,49,48,0.22
PORTSMOUTH,29.8,42,41,0.5
PORTLAND,29.82,44,43,0.52
PLYMOUTH,29.8,42,41,0.1
PENZANCE,29.82,47,46,0
JERSEY,29.86,48,47,0
COPENHAGEN,29.89,32,999,0
HELDER,29.86,43,999,0
BREST,29.8,46,999,0
BAYONNE,999,49,999,0
LISBON,29.74,56,999,0
