1863,4,23,Thursday,DWR_1863_04-19.jpg
NAIRN,29.86,41,2,0.13
ABERDEEN,29.87,43,5,0.13
LEITH,29.91,45,3,0
ARDROSSAN,29.99,55,3,0.15
PORTRUSH,30.05,46,2,0
GALWAY,30.21,50,999,0
VALENTIA,30.29,50,3,0.07
QUEENSTOWN,30.39,48,1,0
HOLYHEAD,30.08,49,2,0
LIVERPOOL,30.07,49,5,0.02
PEMBROKE,30.18,48,3,0
PENZANCE,30.25,51,1,0
BREST,30.24,50,4,0.04
LORIENT,30.2,52,3,0
ROCHEFORT,30.24,57,2,0
PLYMOUTH,30.18,51,5,0
WEYMOUTH,30.14,50,4,0
PORTSMOUTH,30.08,50,4,0.07
KEW,30.08,49,5,0
LONDON,30.05,46,4,0.03
DOVER,30.05,45,3,0
YARMOUTH,29.95,48,1,0
SCARBOROUGH,29.91,46,4,0
SHIELDS,29.94,46,4,0.1
HELIGOLAND,29.73,43,3,0.27
COPENHAGEN,29.42,44,999,0
HELDER,29.9,47,999,0
LISBON,999,999,999,999
