1862,7,26,Saturday,DWR_1862_07-26.jpg
NAIRN,29.95,58,53,0
ABERDEEN,29.99,55,51,0
LEITH,29.83,57,53,0
BERWICK,30.07,56,51,0
ARDROSSAN,29.93,56,53,0
PORTRUSH,29.98,55,52,0
GALWAY,30,58,55,0
VALENTIA,30.01,58,57,999
QUEENSTOWN,30.05,66,58,0
HOLYHEAD,30.04,57,55,0
LIVERPOOL,30.1,57,54,0.01
PEMBROKE,30.12,60,57,0
PENZANCE,30.14,60,59,0
PLYMOUTH,30.12,63,58,0
JERSEY,30.13,60,58,0
WEYMOUTH,30.12,63,58,0
PORTSMOUTH,30.1,63,57,0
DOVER,30.14,60,58,0
LONDON,30.13,63,59,0
YARMOUTH,30.16,64,59,0
SCARBOROUGH,30.12,58,56,0
SHIELDS,?30.03,56,52,0
HELIGOLAND,30.2,59,57,0
HELDER,30.2,60,999,0
COPENHAGEN,30.1,57,999,0
BREST,30.12,59,999,0
BAYONNE,999,76,999,0
LISBON,30.02,82,999,0
