1863,11,28,Saturday,DWR_1863_11-32.jpg
NAIRN,30.04,50,2,0
ABERDEEN,30.17,45,1,0
LEITH,30.24,50,999,0
SHIELDS,30.29,48,3,0
SCARBOROUGH,30.3,44,2,0
GREENCASTLE,30.09,51,2,0.1
GALWAY,30.03,51,1,0.25
VALENTIA,29.98,51,1,0.18
QUEENSTOWN,29.99,53,1,0
LIVERPOOL,30.25,48,1,0
HOLYHEAD,30.19,49,0,0
PEMBROKE,30.23,50,1,0
PENZANCE,30.22,50,2,0
BREST,30.2,45,1,0
LORIENT,30.16,43,1,0
ROCHEFORT,30.16,37,0,0
PLYMOUTH,30.25,49,2,0
WEYMOUTH,30.27,47,2,0
PORTSMOUTH,30.29,48,3,0
LONDON,30.36,46,3,0
DOVER,30.35,45,2,0
YARMOUTH,30.35,45,2,0
HELIGOLAND,30.49,40,1,0
