1863,6,11,Thursday,DWR_1863_06-9.jpg
NAIRN,29.45,52,1,0
ABERDEEN,29.43,53,2,0.08
LEITH,29.36,50,1,0.38
ARDROSSAN,29.39,54,3,0.59
GREENCASTLE,29.46,52,4,0
GALWAY,29.45,54,2,0.4
VALENTIA,29.41,50,1,0.36
QUEENSTOWN,29.4,52,1,0.09
SHIELDS,29.26,54,2,999
SCARBOROUGH,29.22,53,1,0.37
LIVERPOOL,29.43,52,2,1.26
HOLYHEAD,29.43,55,3,0
PEMBROKE,29.49,54,3,0
PENZANCE,29.51,53,1,0.2
BREST,29.57,54,2,2.17
LORIENT,29.69,55,3,0.08
ROCHEFORT,29.88,57,2,0.04
BAYONNE,29.84,61,999,0
PLYMOUTH,29.54,53,1,0.5
WEYMOUTH,29.58,54,4,0.9
PORTSMOUTH,29.61,57,4,0.14
LONDON,29.58,56,6,0.01
DOVER,29.64,58,3,0.31
YARMOUTH,29.55,55,4,0.5
HELDER,29.66,58,999,0
HELIGOLAND,29.71,56,0,0.45
COPENHAGEN,29.8,60,999,0
LISBON,999,999,999,999
