1862,2,13,Thursday,DWR_1862_02-12.jpg
NAIRN,30.18,38,37,0.17
ABERDEEN,30.15,41,40,0
LEITH,30.16,44,41,0
BERWICK,30.17,44,40,0
ARDROSSAN,30.18,42,41,0
PORTRUSH,30.17,40,39,0
GALWAY,30.14,41,40,0
SHIELDS,30.15,41,39,0
SCARBOROUGH,30.12,41,40,0.18
HELIGOLAND,29.99,36,?35,0
LIVERPOOL,30.15,42,39,0
QUEENSTOWN,30.07,46,45,0
VALENTIA,30.09,43,42,0
YARMOUTH,30.13,38,37,0
LONDON,30.12,39,36,0.01
DOVER,30.09,40,37,0
PORTSMOUTH,30.1,38,36,0
PORTLAND,30.1,40,38,0.06
PLYMOUTH,30.04,38,37,0
PENZANCE,30.09,43,42,0.45
COPENHAGEN,29.95,28,999,0
HELDER,30.06,37,999,0
BREST,30,40,999,0
BAYONNE,29.99,31,999,0
LISBON,29.81,39,999,0
