1863,6,9,Tuesday,DWR_1863_06-7.jpg
NAIRN,29.55,52,0,0.45
ABERDEEN,29.6,52,4,0
LEITH,29.58,53,3,0.2
ARDROSSAN,29.6,54,3,0
GREENCASTLE,29.58,53,2,0
GALWAY,29.58,58,2,0.15
VALENTIA,29.63,57,5,0.39
QUEENSTOWN,29.63,57,1,0
SHIELDS,29.65,52,2,0
SCARBOROUGH,29.64,53,2,0
LIVERPOOL,29.67,56,6,0.42
HOLYHEAD,29.63,55,3,0
PEMBROKE,29.69,52,2,0.15
PENZANCE,29.76,57,2,0
BREST,29.84,55,4,0
LORIENT,29.84,59,5,0.04
ROCHEFORT,30,59,2,0
BAYONNE,29.88,66,999,0
PLYMOUTH,29.78,58,4,0
WEYMOUTH,29.78,57,4,0.08
PORTSMOUTH,29.78,56,3,0.33
LONDON,29.78,56,6,0.06
DOVER,29.85,61,1,0.1
YARMOUTH,29.73,56,4,0
HELDER,29.71,56,999,0
HELIGOLAND,29.71,51,0,0.17
COPENHAGEN,29.75,57,999,0
LISBON,30.05,66,999,0
