1862,5,7,Wednesday,DWR_1862_05-6.jpg
NAIRN,29.93,53,52,0.35
ABERDEEN,29.93,50,48,0.15
LEITH,29.89,49,48,0
BERWICK,29.93,55,53,0.43
ARDROSSAN,29.86,56,54,0
PORTRUSH,29.89,53,52,0
GALWAY,29.77,58,54,0
SHIELDS,29.91,56,54,0.13
SCARBOROUGH,29.89,57,55,0
HELIGOLAND,30.13,57,52,0
LIVERPOOL,29.89,55,54,999
QUEENSTOWN,29.75,57,56,0
VALENTIA,29.54,54,53,0
YARMOUTH,29.86,57,54,0
LONDON,29.88,60,57,0.16
DOVER,29.83,62,60,0
PORTSMOUTH,29.81,56,55,1.1
PORTLAND,29.85,55,54,0.35
PLYMOUTH,29.85,56,54,0
PENZANCE,29.89,58,56,0
JERSEY,29.9,55,54,0.25
COPENHAGEN,30.23,52,999,0
HELDER,29.97,65,999,0
BREST,29.92,55,999,0
BAYONNE,999,62,999,0
LISBON,30.23,60,999,0
