1863,4,20,Monday,DWR_1863_04-16.jpg
NAIRN,29.68,45,4,0.1
ABERDEEN,29.67,45,5,0.18
LEITH,29.8,48,4,0
ARDROSSAN,29.8,46,2,999
PORTRUSH,29.78,45,2,0
GALWAY,29.85,48,1,0.35
VALENTIA,29.93,50,2,0.26
QUEENSTOWN,29.96,53,1,0
HOLYHEAD,29.91,48,2,0
LIVERPOOL,29.95,48,3,0.02
PEMBROKE,29.97,48,2,0
PENZANCE,30.01,51,1,0
BREST,30.04,46,1,0
LORIENT,29.96,54,2,0
ROCHEFORT,29.92,52,2,0
PLYMOUTH,29.98,54,999,0
WEYMOUTH,29.96,52,2,0
PORTSMOUTH,29.94,52,3,0
KEW,29.97,48,3,0
LONDON,29.97,49,3,0
DOVER,30.12,58,3,0
YARMOUTH,29.96,50,3,0
SCARBOROUGH,29.92,50,2,0
SHIELDS,29.91,47,5,0
HELIGOLAND,30.12,45,0,0
COPENHAGEN,30.01,48,999,0
HELDER,29.99,47,999,0
LISBON,999,999,999,999
