1862,10,14,Tuesday,DWR_1862_10-11.jpg
NAIRN,29.42,48,46,0.15
ABERDEEN,29.52,52,48,0
LEITH,29.59,51,48,0
BERWICK,29.61,53,50,0
ARDROSSAN,29.62,53,50,0.45
PORTRUSH,29.43,57,55,0
GALWAY,29.71,50,48,0.15
VALENTIA,29.69,50,49,0.31
QUEENSTOWN,29.73,65,64,0.52
HOLYHEAD,29.85,53,50,0.25
LIVERPOOL,29.81,53,50,0
PEMBROKE,29.79,56,55,0.18
PENZANCE,29.86,59,58,0.4
PLYMOUTH,29.88,60,59,0.5
JERSEY,29.98,62,61,0
WEYMOUTH,29.91,60,59,0.38
PORTSMOUTH,29.9,60,58,0.51
DOVER,29.96,61,59,0
LONDON,29.9,59,57,0.04
YARMOUTH,29.89,59,57,0
SCARBOROUGH,29.74,55,52,0
SHIELDS,29.65,52,49,0
HELIGOLAND,29.85,55,54,0.15
HELDER,29.85,59,999,0
COPENHAGEN,29.82,51,999,0
BREST,29.92,62,999,0
BAYONNE,999,64,999,0
LISBON,999,999,999,999
