1863,10,1,Thursday,DWR_1863_10-0.jpg
NAIRN,29.25,53,1,0.1
ABERDEEN,29.26,55,1,0.2
LEITH,29.17,56,2,0.1
SHIELDS,29.2,57,2,0.26
SCARBOROUGH,29.2,56,1,0.69
GREENCASTLE,29.23,52,1,0.28
GALWAY,29.38,52,1,0.6
VALENTIA,29.55,53,999,1.09
QUEENSTOWN,999,52,1,0.57
LIVERPOOL,29.17,54,2,0.13
HOLYHEAD,29.09,54,0,0.55
PEMBROKE,29.16,54,1,0.54
PENZANCE,29.34,53,1,1.9
BREST,29.49,54,2,0.32
LORIENT,29.53,54,3,0.08
ROCHEFORT,29.76,59,2,0.16
PLYMOUTH,29.22,54,1,1.15
WEYMOUTH,29.16,56,1,0.36
LONDON,29.27,54,2,0.45
DOVER,29.17,61,2,0.3
PORTSMOUTH,29.26,55,2,0.8
YARMOUTH,29.33,58,1,0.35
HELIGOLAND,29.66,55,1,0
