1863,12,12,Saturday,DWR_1863_12-10.jpg
NAIRN,29.63,50,4,0.65
ABERDEEN,29.52,52,0,0.6
LEITH,29.78,52,2,0.18
SHIELDS,29.84,53,3,0
SCARBOROUGH,29.9,51,3,0
GREENCASTLE,30,52,1,0.1
GALWAY,30.25,50,0,0.07
VALENTIA,30.36,50,0,0.1
CAPE CLEAR,999,48,1,0
QUEENSTOWN,30.19,50,1,0
LIVERPOOL,30.09,51,2,999
HOLYHEAD,30.13,51,0,0
PEMBROKE,30.29,51,1,0
PENZANCE,30.41,50,1,0
BREST,30.43,50,0,0.04
LORIENT,30.39,50,0,0
ROCHEFORT,30.47,48,1,0
PLYMOUTH,30.34,51,1,0
WEYMOUTH,30.26,50,1,0
PORTSMOUTH,30.24,50,2,0
LONDON,30.14,48,2,0
DOVER,30.16,51,1,0
YARMOUTH,30.01,50,1,0
HELIGOLAND,29.84,41,0,0.08
