1863,3,7,Saturday,DWR_1863_03-6.jpg
NAIRN,29.2,43,0,0
ABERDEEN,29.22,44,2,0.2
LEITH,29.3,44,3,0
ARDROSSAN,29.33,45,4,0
PORTRUSH,29.3,40,2,0
GALWAY,29.32,43,2,0.35
VALENTIA,29.35,41,1,0.63
QUEENSTOWN,29.36,44,1,0.05
HOLYHEAD,29.44,45,3,0.1
LIVERPOOL,29.49,43,4,0.04
PEMBROKE,29.52,44,2,0.32
PENZANCE,29.57,45,1,0.35
BREST,29.57,45,0,0.39
LORIENT,29.69,48,1,0.24
ROCHEFORT,29.8,48,1,0.04
PLYMOUTH,29.56,48,2,0
WEYMOUTH,29.6,47,3,0.15
PORTSMOUTH,29.59,46,3,0.27
KEW,29.62,41,2,0
LONDON,29.62,42,2,0.06
YARMOUTH,29.56,43,2,0
SCARBOROUGH,29.44,43,2,0
SHIELDS,29.4,45,4,0
HELIGOLAND,29.54,45,0,0.2
COPENHAGEN,29.65,36,999,0
HELDER,29.54,45,999,0
BAYONNE,999,54,999,0
LISBON,30.21,57,999,
