1862,1,16,Thursday,DWR_1862_01-16.jpg
NAIRN,29.77,41,39,999
ABERDEEN,29.91,40,39,0.28
LEITH,29.88,44,42,999
BERWICK,29.95,36,34,999
ARDROSSAN,29.83,44,43,0.25
PORTRUSH,29.76,43,42,999
SHIELDS,30.03,36,34,999
GALWAY,29.72,48,47,999
SCARBOROUGH,30.1,35,33,999
LIVERPOOL,30.01,38,36,999
VALENTIA,29.73,49,48,0.23
QUEENSTOWN,29.84,49,48,999
YARMOUTH,30.13,35,33,999
LONDON,30.1,38,35,999
DOVER,30.14,36,35,999
PORTSMOUTH,30.11,35,34,999
PORTLAND,30.09,39,37,999
PLYMOUTH,30.03,38,37,999
PENZANCE,30.02,47,45,999
COPENHAGEN,30.15,20,999,999
HELDER,30.21,23,999,999
BREST,30.05,37,999,999
BAYONNE,30,39,999,999
LISBON,999,47,999,999
