1863,12,31,Thursday,DWR_1863_12-26.jpg
NAIRN,?30.11,31,999,0
ABERDEEN,30.07,41,1,0
LEITH,29.93,40,2,0
ARDROSSAN,29.79,36,1,0
GREENCASTLE,29.71,42,2,0
GALWAY,29.43,47,1,0.45
VALENTIA,29.3,47,0,0.87
CAPE CLEAR,29.37,43,1,0.55
QUEENSTOWN,29.29,49,1,0.81
LIVERPOOL,29.85,38,1,0
HOLYHEAD,29.71,49,1,0
PEMBROKE,29.53,44,1,0.25
PENZANCE,29.56,48,0,0.7
BREST,29.61,50,1,0.35
LORIENT,29.69,48,0,0.28
ROCHEFORT,29.84,46,1,0.12
PLYMOUTH,29.67,45,2,0.1
WEYMOUTH,29.79,46,4,0
PORTSMOUTH,29.87,44,3,0
LONDON,29.94,37,2,0
DOVER,29.99,40,1,0
YARMOUTH,30.02,40,1,0
SCARBOROUGH,29.96,40,1,0
SHIELDS,29.95,38,2,0
HELIGOLAND,30.21,30,1,0
