1862,6,19,Thursday,DWR_1862_06-20.jpg
NAIRN,29.91,50,48,0.15
ABERDEEN,29.92,53,51,0.07
LEITH,29.98,55,51,0
ARDROSSAN,29.97,54,51,0
PORTRUSH,30.06,53,51,0
GALWAY,30.2,56,55,0
VALENTIA,30.29,56,55,0
QUEENSTOWN,30.23,59,57,0
MILFORD,999,999,999,999
HOLYHEAD,999,999,999,999
LIVERPOOL,30.16,56,51,0
PENZANCE,30.3,59,57,0
PLYMOUTH,30.21,59,54,0
JERSEY,30.25,57,52,0
PORTLAND,30.2,59,54,0
PORTSMOUTH,30.17,58,53,0
DOVER,30.11,55,52,0.25
LONDON,30.14,55,52,0.01
YARMOUTH,30.07,55,52,0
SCARBOROUGH,30.08,55,52,0.1
SHIELDS,30.05,54,50,0
BERWICK,30.01,56,50,0
HELIGOLAND,29.89,55,52,0
HELDER,30.01,55,999,0
COPENHAGEN,29.67,56,999,0
BREST,30.27,55,999,0
BAYONNE,999,58,999,0
LISBON,999,999,999,999
