1863,10,19,Monday,DWR_1863_10-15.jpg
NAIRN,29.67,46,999,0
ABERDEEN,29.73,47,2,0.15
LEITH,29.79,50,999,999
SHIELDS,29.86,55,5,0.33
SCARBOROUGH,29.84,58,2,0
GREENCASTLE,29.84,46,1,0.26
GALWAY,29.89,52,1,0.6
VALENTIA,29.87,49,0,0.97
QUEENSTOWN,29.78,52,1,0.22
LIVERPOOL,29.89,55,1,0.09
HOLYHEAD,29.85,52,0,0.75
PEMBROKE,29.98,57,0,0.19
PENZANCE,30.08,55,0,0.33
BREST,30.16,55,0,0.08
LORIENT,30.16,57,2,0.04
ROCHEFORT,30.28,48,1,0.04
PLYMOUTH,30.1,56,1,0.24
WEYMOUTH,30.11,56,0,0.13
PORTSMOUTH,30.11,57,1,0.08
LONDON,30.1,55,2,0.01
DOVER,30.14,60,1,0
YARMOUTH,29.99,58,2,0
HELIGOLAND,29.97,53,0,0.35
