1862,5,2,Friday,DWR_1862_05-1.jpg
NAIRN,30.17,48,44,0.55
ABERDEEN,30.13,48,46,0.6
LEITH,30.16,48,46,0
BERWICK,30.16,49,45,0.38
ARDROSSAN,30.18,50,47,0.81
PORTRUSH,30.26,49,48,0
GALWAY,30.33,52,51,0
SHIELDS,30.11,45,44,0.09
SCARBOROUGH,30.03,50,49,0
HELIGOLAND,30.11,60,54,0
LIVERPOOL,30.15,50,48,0.09
QUEENSTOWN,30.34,48,45,0
VALENTIA,30.35,53,46,0
YARMOUTH,30.08,57,54,0
LONDON,30.13,53,50,999
DOVER,30.16,53,52,0
PORTSMOUTH,30.18,54,50,0
PORTLAND,30.23,53,49,0.08
PLYMOUTH,30.25,52,50,0
PENZANCE,30.32,54,52,0
JERSEY,30.31,56,52,0
COPENHAGEN,30.24,53,999,0
HELDER,30.11,57,999,0
BREST,30.29,52,999,0
BAYONNE,999,65,999,0
LISBON,29.98,65,999,0
