1863,5,28,Thursday,DWR_1863_05-23.jpg
NAIRN,30.05,57,4,0.08
ABERDEEN,30.05,57,4,0.09
LEITH,30.13,58,3,0.07
ARDROSSAN,30.2,53,2,0
PORTRUSH,30.2,53,2,0
GALWAY,30.3,57,1,0
VALENTIA,30.36,56,1,0
QUEENSTOWN,30.33,60,2,0
HOLYHEAD,30.27,54,2,0
LIVERPOOL,30.28,55,2,0
PEMBROKE,30.35,55,2,0
PENZANCE,30.41,54,1,0
BREST,30.39,54,3,0
LORIENT,30.36,54,4,0
ROCHEFORT,30.32,57,3,0
PLYMOUTH,30.37,58,6,0
WEYMOUTH,30.35,56,4,0
PORTSMOUTH,30.31,53,2,0
KEW,30.32,54,4,0
LONDON,30.31,56,3,0
DOVER,30.28,60,3,0
YARMOUTH,30.27,55,3,0
SCARBOROUGH,30.2,54,3,0
SHIELDS,30.22,53,5,0
HELIGOLAND,30.21,49,1,0
COPENHAGEN,30.07,44,999,0
HELDER,30.24,56,999,0
LISBON,30.2,63,999,0
