1862,1,20,Monday,DWR_1862_01-19.jpg
NAIRN,29.72,34,31,999
ABERDEEN,29.79,37,36,999
LEITH,29.76,35,34,999
BERWICK,29.77,31,999,999
ARDROSSAN,29.74,31,999,0.57
PORTRUSH,29.63,38,37,999
SHIELDS,29.79,31,999,999
GALWAY,29.55,38,37,999
SCARBOROUGH,29.81,34,31,999
LIVERPOOL,?29.72,30,999,999
VALENTIA,29.5,38,37,999
QUEENSTOWN,29.48,41,40,999
YARMOUTH,29.8,31,999,999
LONDON,29.76,29,999,999
DOVER,29.78,28,999,999
PORTSMOUTH,29.7,31,999,999
PORTLAND,29.66,38,35,999
PLYMOUTH,29.56,39,37,999
PENZANCE,29.52,45,44,0.35
COPENHAGEN,999,999,999,999
HELDER,29.88,21,999,999
BREST,29.5,34,999,999
BAYONNE,29.57,38,999,999
LISBON,999,999,999,999
