1863,12,4,Friday,DWR_1863_12-3.jpg
NAIRN,29.8,45,3,0
ABERDEEN,29.87,40,2,0.45
LEITH,30,43,2,0.25
SHIELDS,30.11,41,3,0.4
SCARBOROUGH,30.11,39,2,1.02
GREENCASTLE,30.05,44,1,0.18
GALWAY,999,999,999,999
VALENTIA,999,999,999,999
CAPE CLEAR,999,46,2,0
QUEENSTOWN,30.23,46,2,0.22
LIVERPOOL,999,999,999,999
HOLYHEAD,30.25,46,1,0
PEMBROKE,30.39,46,3,0.11
PENZANCE,30.5,46,3,0.23
BREST,30.51,45,999,0.16
LORIENT,30.51,37,0,0.12
ROCHEFORT,30.63,43,2,0.12
PLYMOUTH,30.48,44,2,0
WEYMOUTH,30.42,44,3,0.07
PORTSMOUTH,30.38,43,3,0.08
LONDON,30.36,35,1,0.02
YARMOUTH,30.19,38,1,0
HELIGOLAND,29.47,42,0,0.17
