1862,1,21,Tuesday,DWR_1862_01-20.jpg
NAIRN,29.67,33,32,999
ABERDEEN,29.72,36,35,999
LEITH,29.65,38,35,999
BERWICK,29.65,35,33,999
ARDROSSAN,29.61,33,32,999
PORTRUSH,29.61,42,41,999
SHIELDS,29.64,35,34,999
GALWAY,29.46,36,35,999
SCARBOROUGH,29.65,33,32,999
LIVERPOOL,29.61,32,31,999
VALENTIA,29.38,40,38,999
QUEENSTOWN,29.42,44,43,999
YARMOUTH,29.63,31,999,999
LONDON,29.53,31,999,0.08
DOVER,29.48,32,31,999
PORTSMOUTH,29.51,31,999,999
PORTLAND,29.51,31,999,0.08
PLYMOUTH,29.47,33,32,999
PENZANCE,29.49,42,41,999
COPENHAGEN,29.88,27,999,999
HELDER,29.71,18,999,999
BREST,29.51,999,999,999
BAYONNE,29.74,42,999,999
LISBON,999,999,999,999
