1862,2,11,Tuesday,DWR_1862_02-10.jpg
NAIRN,30.17,46,44,0
ABERDEEN,30.15,44,43,0
LEITH,30.22,43,42,0
BERWICK,30.23,41,39,0
ARDROSSAN,30.29,44,43,0
PORTRUSH,30.36,37,35,0
GALWAY,30.46,39,38,0
SHIELDS,30.25,40,38,0
SCARBOROUGH,30.24,41,39,0
HELIGOLAND,30.04,39,38,0
LIVERPOOL,30.35,43,42,0
QUEENSTOWN,30.48,42,40,0
VALENTIA,30.49,42,41,0
YARMOUTH,30.26,35,34,0
LONDON,30.32,33,32,0
DOVER,30.29,45,44,0
PORTSMOUTH,30.33,32,31,0
PORTLAND,30.37,37,35,0
PLYMOUTH,30.39,32,31,0
PENZANCE,30.46,42,40,0
COPENHAGEN,29.68,36,999,0
HELDER,30.19,39,999,0
BREST,30.39,41,999,0
BAYONNE,30.38,31,999,0
LISBON,30.24,39,999,0
