1863,5,27,Wednesday,DWR_1863_05-22.jpg
NAIRN,30.15,50,3,0
ABERDEEN,30.18,48,2,0
LEITH,30.18,53,4,0
ARDROSSAN,30.22,52,3,0
PORTRUSH,30.25,52,2,0
GALWAY,30.3,54,1,0
VALENTIA,30.34,54,2,0
QUEENSTOWN,30.34,50,1,0
HOLYHEAD,30.24,53,2,0
LIVERPOOL,30.26,55,4,0
PEMBROKE,30.3,55,3,0
PENZANCE,30.36,56,2,0
BREST,30.36,52,4,0
LORIENT,30.28,52,4,0
ROCHEFORT,30.28,54,0,0.12
PLYMOUTH,30.32,57,5,0
WEYMOUTH,30.3,54,3,0
PORTSMOUTH,30.27,54,3,0
KEW,30.31,51,3,0
LONDON,30.28,52,5,0
DOVER,30.3,60,1,0
YARMOUTH,30.24,54,999,0
SCARBOROUGH,30.21,54,4,0
SHIELDS,30.23,53,5,0
HELIGOLAND,30.17,51,4,0
COPENHAGEN,30.03,52,999,0
HELDER,30.24,53,999,0
LISBON,30.11,66,999,0
