1862,3,5,Wednesday,DWR_1862_03-3.jpg
NAIRN,29.48,31,999,0
ABERDEEN,29.57,28,999,0
LEITH,29.56,36,35,0
BERWICK,29.65,30,999,0
ARDROSSAN,29.52,36,34,0.2
PORTRUSH,29.49,33,32,0
GALWAY,29.42,40,39,0
SHIELDS,29.7,33,32,0
SCARBOROUGH,29.78,32,999,0
HELIGOLAND,29.91,34,33,0
LIVERPOOL,29.75,36,35,0
QUEENSTOWN,29.46,47,46,0
VALENTIA,29.4,46,45,0.55
YARMOUTH,29.94,32,30,0
LONDON,29.97,33,31,0
DOVER,29.99,39,38,0
PORTSMOUTH,29.96,36,34,0
PORTLAND,29.94,41,38,0.09
PLYMOUTH,29.86,43,41,0
PENZANCE,29.83,44,42,0
COPENHAGEN,29.82,29,999,0
HELDER,29.95,37,999,0
BREST,29.93,41,999,0
BAYONNE,999,44,999,0
LISBON,30.24,53,999,0
