1863,4,27,Monday,DWR_1863_04-22.jpg
NAIRN,29.66,41,2,0.1
ABERDEEN,29.67,48,8,0.27
LEITH,29.77,48,4,0
ARDROSSAN,29.88,47,4,0.16
PORTRUSH,29.93,48,3,0
GALWAY,30.14,47,4,0
VALENTIA,30.25,51,4,0
QUEENSTOWN,30.2,53,1,0
HOLYHEAD,29.99,51,1,0
LIVERPOOL,30.03,53,6,0
PEMBROKE,30.17,53,2,0
PENZANCE,30.24,54,1,0
BREST,30.24,52,4,0
LORIENT,30.2,52,4,0
ROCHEFORT,30.16,55,4,0
PLYMOUTH,30.21,53,3,0
WEYMOUTH,30.18,53,4,0
PORTSMOUTH,30.14,52,6,0
KEW,30.13,55,7,0
LONDON,30.14,54,7,0
DOVER,30.15,58,4,0
YARMOUTH,30.06,53,5,0
SCARBOROUGH,29.91,50,3,0
SHIELDS,29.89,52,5,0
HELIGOLAND,30.02,49,2,0.3
COPENHAGEN,29.93,44,999,0
HELDER,30.05,52,999,0
LISBON,30.15,64,999,0
