1862,4,2,Wednesday,DWR_1862_04-1.jpg
NAIRN,29.12,51,47,0
ABERDEEN,29.2,49,48,0
LEITH,29.23,53,50,0
BERWICK,29.3,52,50,0
ARDROSSAN,29.22,47,46,0.55
PORTRUSH,29.22,49,47,0.45
GALWAY,29.29,52,50,0
SHIELDS,29.36,53,51,0.07
SCARBOROUGH,29.48,53,52,0
HELIGOLAND,29.9,43,42,0
LIVERPOOL,29.42,54,52,0.16
QUEENSTOWN,29.34,53,52,0
VALENTIA,29.33,51,50,0.41
YARMOUTH,29.71,51,50,0
LONDON,29.72,52,50,0.03
DOVER,29.76,51,50,0
PORTSMOUTH,29.71,51,50,0.26
PORTLAND,29.66,51,50,0.35
PLYMOUTH,29.58,52,51,0.63
PENZANCE,29.59,53,52,0.73
JERSEY,29.81,52,51,0
COPENHAGEN,29.94,38,999,0
HELDER,29.84,50,999,0
BREST,29.73,54,999,0
BAYONNE,999,51,999,0
LISBON,30.13,58,999,0
