1862,5,24,Saturday,DWR_1862_05-22.jpg
NAIRN,29.54,54,49,0
ABERDEEN,29.63,53,49,0
LEITH,29.68,56,50,0
BERWICK,29.73,55,49,0
ARDROSSAN,29.66,53,50,0
PORTRUSH,29.7,53,51,0
GALWAY,29.79,57,54,0
SHIELDS,29.76,55,50,0
SCARBOROUGH,29.82,57,53,0
HELIGOLAND,29.86,54,53,0.5
LIVERPOOL,29.87,55,50,0
QUEENSTOWN,29.89,56,55,0
VALENTIA,29.9,55,52,0
YARMOUTH,29.89,57,54,0
LONDON,29.95,56,52,0
DOVER,29.95,59,56,0
PORTSMOUTH,29.95,59,53,0
PORTLAND,29.97,58,55,0.06
PLYMOUTH,29.94,58,56,0
PENZANCE,29.99,56,55,0
JERSEY,30.04,59,57,0.15
COPENHAGEN,29.79,55,999,0
HELDER,29.91,56,999,0
BREST,29.99,55,999,0
BAYONNE,999,63,999,0
LISBON,29.96,64,999,0
