1863,1,2,Friday,DWR_1863_01-1.jpg
NAIRN,28.92,39,2,0.21
ABERDEEN,28.99,40,2,0
LEITH,29.11,42,2,0
ARDROSSAN,29.18,42,1,0.12
PORTRUSH,29.2,44,2,0
GALWAY,29.55,36,2,0.09
VALENTIA,29.63,42,1,0.54
QUEENSTOWN,29.59,42,1,0.98
HOLYHEAD,29.39,45,2,0.6
LIVERPOOL,29.39,43,1,0.69
PEMBROKE,29.51,45,2,0.37
PENZANCE,29.66,46,2,0.62
BREST,29.79,46,2,0.83
JERSEY,29.69,49,1,0.19
LORIENT,29.8,32,2,0.63
ROCHEFORT,30.03,37,2,0
PLYMOUTH,29.63,45,1,0.46
WEYMOUTH,29.61,45,2,0.5
PORTSMOUTH,29.55,46,1,0.13
KEW,29.45,51,2,0
LONDON,29.45,50,2,0.19
YARMOUTH,29.41,50,1,0
SCARBOROUGH,29.28,38,1,0.78
SHIELDS,29.28,43,3,0
HELIGOLAND,29.6,43,1,0
COPENHAGEN,999,999,999,999
HELDER,29.57,45,999,0
BAYONNE,999,34,999,0
OPORTO,999,999,999,999
LISBON,999,999,999,999
