1862,9,25,Thursday,DWR_1862_09-22.jpg
NAIRN,29.87,52,51,0
ABERDEEN,29.93,52,51,0.35
LEITH,29.85,54,53,0
BERWICK,29.91,56,54,0.24
ARDROSSAN,29.78,59,57,0.52
PORTRUSH,29.78,59,56,0
GALWAY,29.77,56,55,0.18
VALENTIA,29.7,59,58,0
QUEENSTOWN,29.79,60,59,0
HOLYHEAD,29.79,57,56,0.35
LIVERPOOL,29.88,57,56,0.13
PEMBROKE,29.88,59,58,0.54
PENZANCE,29.94,59,58,0.2
PLYMOUTH,29.94,60,58,0.95
JERSEY,29.99,60,59,0.15
WEYMOUTH,29.93,62,60,0.12
PORTSMOUTH,29.88,61,59,0.1
DOVER,29.86,999,999,0
LONDON,29.88,59,58,0.14
YARMOUTH,29.88,60,57,0
SCARBOROUGH,29.95,56,54,0
SHIELDS,29.89,56,53,0
HELIGOLAND,30.01,54,50,0
HELDER,29.97,54,999,0
COPENHAGEN,999,999,999,999
BREST,29.95,60,999,0
BAYONNE,999,65,999,0
LISBON,30.13,69,999,0
