1863,11,30,Monday,DWR_1863_11-33.jpg
NAIRN,30.09,34,3,0
ABERDEEN,30.19,45,2,0
LEITH,30.17,42,3,0
SHIELDS,30.21,46,5,0
SCARBOROUGH,30.22,43,2,0
GREENCASTLE,30.04,44,2,0
GALWAY,29.95,46,2,0
VALENTIA,29.86,49,999,0.07
QUEENSTOWN,29.83,50,1,0
LIVERPOOL,30.17,41,3,0
HOLYHEAD,30.08,45,1,0
PEMBROKE,30.05,45,2,0
PENZANCE,30.01,49,2,0
BREST,29.96,43,1,0
LORIENT,29.96,37,0,0
ROCHEFORT,29.96,45,0,0
PLYMOUTH,30.16,45,2,0
WEYMOUTH,30.1,45,2,0
PORTSMOUTH,30.12,45,2,0
LONDON,30.18,34,2,0
DOVER,30.2,41,1,0
YARMOUTH,30.23,43,2,0
HELIGOLAND,999,999,999,999
