1862,1,29,Wednesday,DWR_1862_01-28.jpg
NAIRN,29.21,45,43,999
ABERDEEN,29.3,44,43,0.2
LEITH,29.38,46,44,999
BERWICK,29.42,45,43,999
ARDROSSAN,29.4,46,45,999
PORTRUSH,29.4,43,42,999
SHIELDS,29.51,45,44,999
GALWAY,29.55,45,44,999
SCARBOROUGH,29.61,42,41,0.19
LIVERPOOL,29.58,44,43,999
VALENTIA,29.68,52,50,0.58
QUEENSTOWN,29.64,50,49,999
YARMOUTH,29.8,42,41,999
LONDON,29.86,47,46,0.07
DOVER,29.92,47,46,999
PORTSMOUTH,29.88,48,47,0.15
PORTLAND,29.87,49,48,0.07
PLYMOUTH,?29.85,50,49,999
PENZANCE,29.85,52,51,0.25
COPENHAGEN,999,999,999,999
HELDER,29.84,41,999,999
BREST,30.02,51,999,999
BAYONNE,?29.96,44,999,999
LISBON,30.46,48,999,999
