1862,1,3,Friday,DWR_1862_01-2.jpg
NAIRN,30.02,44,42,999
ABERDEEN,29.98,43,41,999
LEITH,30.16,41,39,999
BERWICK,?30.04,41,39,999
ARDROSSAN,30.15,44,40,999
PORTRUSH,30.22,43,999,999
SHIELDS,30.09,37,36,999
GALWAY,30.34,38,37,999
SCARBOROUGH,30.06,41,40,999
LIVERPOOL,30.16,41,40,0.13
VALENTIA,30.38,43,999,999
QUEENSTOWN,30.34,43,999,999
YARMOUTH,30.19,38,37,999
LONDON,30.17,37,36,999
DOVER,30.18,31,999,0.18
PORTSMOUTH,30.21,35,34,999
PORTLAND,30.21,37,36,999
PLYMOUTH,30.17,36,35,999
PENZANCE,30.26,39,38,999
COPENHAGEN,29.65,32,999,999
HELDER,30.07,42,999,999
BREST,30.17,34,999,999
BAYONNE,29.96,48,999,999
LISBON,999,999,999,999
