1863,2,20,Friday,DWR_1863_02-16.jpg
NAIRN,30.31,35,3,0
ABERDEEN,30.38,41,1,0
LEITH,30.38,41,2,0
ARDROSSAN,30.39,42,1,0
PORTRUSH,30.32,43,1,0
GALWAY,30.29,48,2,0
VALENTIA,30.3,47,2,0.22
QUEENSTOWN,30.34,48,1,0
HOLYHEAD,30.37,44,1,0
LIVERPOOL,30.42,43,2,0
PEMBROKE,30.39,46,1,0
PENZANCE,30.36,44,1,0
JERSEY,999,999,999,999
BREST,30.32,43,2,0
LORIENT,30.32,37,1,0
ROCHEFORT,30.32,32,0,0
PLYMOUTH,30.37,47,1,0.5
WEYMOUTH,30.39,45,1,0.09
PORTSMOUTH,30.37,45,1,0.08
KEW,30.42,41,1,0
LONDON,30.42,40,1,0.06
YARMOUTH,30.46,42,1,0
SCARBOROUGH,30.46,40,1,0
SHIELDS,30.47,43,4,0
HELIGOLAND,30.61,35,1,0
COPENHAGEN,999,999,999,999
HELDER,30.53,41,999,0
BAYONNE,999,39,999,0
OPORTO,999,999,999,999
LISBON,30.27,47,999,0
