1862,1,31,Friday,DWR_1862_01-30.jpg
NAIRN,29.34,39,38,999
ABERDEEN,29.39,42,41,0.25
LEITH,29.36,48,46,999
BERWICK,29.43,45,43,0.25
ARDROSSAN,29.44,47,46,0.26
PORTRUSH,29.5,44,43,999
SHIELDS,29.43,48,46,999
GALWAY,999,999,999,999
SCARBOROUGH,29.47,47,46,999
LIVERPOOL,29.61,49,47,0.02
VALENTIA,29.8,52,51,0.13
QUEENSTOWN,29.83,53,52,999
YARMOUTH,29.58,49,48,999
LONDON,29.72,51,49,0.35
DOVER,29.72,49,48,0.35
PORTSMOUTH,29.83,51,50,0.19
PORTLAND,29.86,51,50,0.26
PLYMOUTH,29.92,52,51,999
PENZANCE,30,52,51,0.35
