1863,8,8,Saturday,DWR_1863_08-7.jpg
NAIRN,29.57,64,2,0.15
ABERDEEN,29.68,64,3,0.35
LEITH,29.74,69,5,0
SHIELDS,29.9,69,6,0
SCARBOROUGH,29.98,66,3,0
GREENCASTLE,29.63,63,2,0.29
GALWAY,29.75,63,2,0.5
VALENTIA,29.87,62,1,0.16
QUEENSTOWN,29.89,66,1,0.17
LIVERPOOL,30,67,5,0
HOLYHEAD,29.92,60,0,0.12
PEMBROKE,30.06,63,1,0.12
PENZANCE,30.14,64,1,0
BREST,30.16,64,0,0
LORIENT,30.12,68,3,0
ROCHEFORT,30.2,68,4,0
PLYMOUTH,30.14,65,1,0
WEYMOUTH,30.16,63,1,0.07
PORTSMOUTH,30.15,66,4,0
LONDON,30.16,70,4,0.03
DOVER,30.19,69,3,0
YARMOUTH,30.12,68,4,0
HELIGOLAND,30.11,63,0,0
