1863,10,29,Thursday,DWR_1863_10-24.jpg
NAIRN,29.25,37,2,0
ABERDEEN,29.25,40,1,999
LEITH,29.23,43,3,0.42
SHIELDS,29.36,44,4,0
SCARBOROUGH,29.4,42,1,0
GREENCASTLE,28.96,51,2,0.12
GALWAY,?28.56,51,1,0.18
VALENTIA,999,999,999,999
QUEENSTOWN,28.85,51,1,0.25
LIVERPOOL,29.3,45,2,0.03
HOLYHEAD,29.13,48,1,0.15
PEMBROKE,29.21,55,1,0.46
PENZANCE,29.35,52,1,0.24
BREST,29.49,55,2,0.04
LORIENT,29.53,55,2,0
ROCHEFORT,29.76,52,0,0.16
PLYMOUTH,29.39,52,0,0
WEYMOUTH,29.44,52,2,0.35
PORTSMOUTH,29.48,51,3,999
LONDON,29.49,48,2,0.11
DOVER,29.52,54,2,0.35
YARMOUTH,29.51,50,1,0
HELIGOLAND,29.62,48,0,0.1
