1862,6,24,Tuesday,DWR_1862_06-27.jpg
NAIRN,29.78,56,53,0.27
ABERDEEN,29.78,53,52,0.24
LEITH,?29.97,59,55,0
BERWICK,29.8,59,55,0.17
ARDROSSAN,29.83,55,52,0.25
PORTRUSH,?29.49,53,51,0
GALWAY,30.04,60,57,0
VALENTIA,30.1,55,54,0
QUEENSTOWN,30.04,60,59,0
MILFORD,999,999,999,999
HOLYHEAD,999,999,999,999
LIVERPOOL,29.95,56,55,0.02
PENZANCE,30.11,57,55,0
PLYMOUTH,30.03,59,53,0
JERSEY,30.1,61,57,0.11
PORTLAND,30.02,61,58,0
PORTSMOUTH,30,57,55,0
DOVER,30.01,62,58,0
LONDON,29.97,58,54,0
YARMOUTH,29.92,55,52,0
SCARBOROUGH,29.83,57,55,0
SHIELDS,29.81,58,55,0
HELIGOLAND,29.87,54,51,0
HELDER,29.95,55,999,0
COPENHAGEN,29.74,57,999,0
BREST,30.1,57,999,0
BAYONNE,999,61,999,0
LISBON,29.94,80,999,0
