1863,4,22,Wednesday,DWR_1863_04-18.jpg
NAIRN,29.22,42,2,0.2
ABERDEEN,29.18,44,3,0.1
LEITH,999,999,999,999
ARDROSSAN,29.49,47,2,0.46
PORTRUSH,29.54,45,1,0
GALWAY,29.73,50,2,0.3
VALENTIA,29.86,51,2,0.2
QUEENSTOWN,29.77,53,1,0
HOLYHEAD,29.66,50,2,0.2
LIVERPOOL,29.62,49,5,0.15
PEMBROKE,29.78,49,2,0.12
PENZANCE,29.91,53,0,0
BREST,30.08,54,4,0
LORIENT,30,55,3,0
ROCHEFORT,30.16,54,1,0
PLYMOUTH,29.86,53,1,0
WEYMOUTH,29.81,53,2,0
PORTSMOUTH,29.79,53,2,0
KEW,29.71,54,3,0
LONDON,29.69,54,3,0
DOVER,?29.89,54,3,0
YARMOUTH,29.55,55,1,0
SCARBOROUGH,29.39,50,6,0
SHIELDS,29.4,48,4,0.17
HELIGOLAND,29.54,47,0,0.09
COPENHAGEN,999,999,999,999
HELDER,29.55,51,999,0
LISBON,999,999,999,999
