1863,8,4,Tuesday,DWR_1863_08-3.jpg
NAIRN,29.71,61,5,0.3
ABERDEEN,29.73,61,5,0.3
LEITH,29.77,65,6,0
SHIELDS,29.84,62,4,0
SCARBOROUGH,29.85,57,1,0.54
GREENCASTLE,29.78,58,3,0.14
GALWAY,29.82,63,1,0.25
VALENTIA,999,999,999,999
QUEENSTOWN,29.85,58,1,0.83
LIVERPOOL,29.8,59,2,0.59
HOLYHEAD,29.79,59,999,0.45
PEMBROKE,29.85,58,1,0.71
PENZANCE,29.91,62,2,0.5
BREST,30,66,3,0
LORIENT,30,68,3,0
ROCHEFORT,30.2,66,4,0
PLYMOUTH,29.91,65,2,0
WEYMOUTH,29.93,65,3,0.06
PORTSMOUTH,29.94,66,4,0
LONDON,29.95,68,4,0.01
DOVER,29.99,72,4,0
YARMOUTH,29.94,66,5,0
HELIGOLAND,29.99,64,2,0
