1863,1,28,Wednesday,DWR_1863_01-25.jpg
NAIRN,30.2,36,1,0.25
ABERDEEN,30.23,37,2,0.26
LEITH,30.28,43,2,0
ARDROSSAN,30.33,43,2,0.13
PORTRUSH,30.34,43,0,0
GALWAY,30.35,43,1,0
VALENTIA,30.28,47,0,999
QUEENSTOWN,30.44,47,1,0
HOLYHEAD,30.45,44,2,0
LIVERPOOL,30.48,41,2,0
PEMBROKE,30.56,41,2,0
PENZANCE,30.57,44,2,0
JERSEY,999,999,999,999
BREST,30.55,37,0,0
LORIENT,30.55,37,1,0
ROCHEFORT,30.55,41,1,0
PLYMOUTH,30.57,37,2,0
WEYMOUTH,30.58,35,1,0
PORTSMOUTH,30.57,39,2,0
KEW,30.58,32,1,0
LONDON,30.56,35,2,0
YARMOUTH,30.48,37,2,0
SCARBOROUGH,30.39,39,2,0
SHIELDS,30.42,42,0,0
HELIGOLAND,30.23,40,1,0
COPENHAGEN,29.82,37,999,0
HELDER,30.4,43,999,0
BAYONNE,999,46,999,0
OPORTO,999,999,999,999
LISBON,30.53,48,999,0
