1862,6,13,Friday,DWR_1862_06-12.jpg
NAIRN,29.16,52,51,0.37
ABERDEEN,29.2,52,51,0.4
LEITH,29.11,53,52,0
BERWICK,29.12,55,52,0.35
ARDROSSAN,29.11,54,52,0.87
PORTRUSH,999,55,53,0
GALWAY,29.23,57,55,0
SHIELDS,29.16,58,53,0
SCARBOROUGH,29.21,56,53,0.35
HELIGOLAND,29.41,56,55,0.35
LIVERPOOL,29.3,57,53,0.21
QUEENSTOWN,29.35,56,55,0
VALENTIA,29.37,54,52,0.54
YARMOUTH,29.4,58,53,0.35
LONDON,29.51,56,52,0.52
DOVER,29.58,59,58,0.9
PORTSMOUTH,29.56,58,55,1.24
PORTLAND,29.56,57,54,0.3
PLYMOUTH,29.54,58,54,0.45
PENZANCE,29.62,56,55,0.25
JERSEY,29.74,58,53,0.25
COPENHAGEN,29.5,61,999,0
HELDER,29.45,58,999,0
BREST,29.75,55,999,0
BAYONNE,999,61,999,0
LISBON,30.22,64,999,0
