1863,8,25,Tuesday,DWR_1863_08-21.jpg
NAIRN,29.44,53,3,999
ABERDEEN,29.46,56,4,0
LEITH,29.45,58,4,0
SHIELDS,29.61,58,4,0
SCARBOROUGH,29.68,55,2,0
GREENCASTLE,29.47,54,2,0.2
GALWAY,29.39,60,1,0
VALENTIA,29.44,56,2,0.4
QUEENSTOWN,999,56,0,0
LIVERPOOL,29.61,57,4,0.01
HOLYHEAD,29.52,56,2,0.15
PEMBROKE,29.56,56,1,0.5
PENZANCE,29.62,59,1,0.4
BREST,29.76,63,4,999
LORIENT,29.8,61,3,0
ROCHEFORT,999,63,2,0.12
PLYMOUTH,29.65,64,5,0
WEYMOUTH,29.69,61,2,0.09
PORTSMOUTH,29.72,61,3,0
LONDON,29.75,60,5,0
DOVER,29.76,66,3,0.07
YARMOUTH,29.73,58,2,0
HELIGOLAND,29.75,62,1,0
