1863,9,24,Thursday,DWR_1863_09-20.jpg
NAIRN,29.41,48,0,0.67
ABERDEEN,29.38,51,2,0.27
LEITH,29.35,50,2,0.32
SHIELDS,29.34,52,3,0.13
SCARBOROUGH,29.34,47,1,0
GREENCASTLE,29.33,52,3,0.33
GALWAY,29.34,50,1,0.5
VALENTIA,29.37,55,3,0.34
QUEENSTOWN,999,51,1,0
LIVERPOOL,29.3,45,1,0.11
HOLYHEAD,29.22,48,1,0.4
PEMBROKE,29.23,48,1,0.14
PENZANCE,29.3,53,2,0.35
BREST,29.37,54,4,0.51
LORIENT,29.37,55,4,0.04
ROCHEFORT,29.57,55,0,0.24
PLYMOUTH,29.3,53,3,0.18
WEYMOUTH,29.32,52,3,0.23
PORTSMOUTH,29.3,53,2,0.13
LONDON,29.37,50,2,0.2
DOVER,29.4,999,999,1.01
YARMOUTH,29.39,51,2,0
HELIGOLAND,29.53,52,1,0
