1862,7,21,Monday,DWR_1862_07-21.jpg
NAIRN,29.97,52,49,999
ABERDEEN,29.94,55,49,0
LEITH,30.02,59,52,0
BERWICK,30.03,57,54,0
ARDROSSAN,30.07,55,52,0.28
PORTRUSH,30.16,55,52,0
GALWAY,30.29,63,59,0
VALENTIA,30.32,60,55,0
QUEENSTOWN,30.31,59,57,0
MILFORD,30.27,?57,56,0
HOLYHEAD,30.18,56,52,0
LIVERPOOL,30.16,57,54,0.01
PENZANCE,?30.33,61,60,0
PLYMOUTH,30.27,60,54,0
JERSEY,30.31,63,58,0
PORTLAND,30.25,62,57,0
PORTSMOUTH,30.21,61,55,0
DOVER,?30.16,999,999,0
LONDON,30.18,58,53,0
YARMOUTH,30.09,60,54,0
SCARBOROUGH,30.05,58,53,0
SHIELDS,30.03,56,52,0
HELIGOLAND,29.87,56,54,0
HELDER,999,999,999,999
COPENHAGEN,29.67,57,999,0
BREST,30.32,57,999,0
BAYONNE,999,68,999,0
LISBON,30.09,77,999,0
