1862,9,3,Wednesday,DWR_1862_09-2.jpg
NAIRN,29.48,54,53,0
ABERDEEN,29.46,56,55,0.35
LEITH,29.46,57,54,0
BERWICK,29.5,57,53,0
ARDROSSAN,29.47,57,55,0
PORTRUSH,29.5,56,51,0
GALWAY,29.69,54,51,0.38
VALENTIA,29.8,57,55,0.37
QUEENSTOWN,29.74,55,53,0.36
HOLYHEAD,29.5,54,52,1.23
LIVERPOOL,29.5,55,53,0.2
PEMBROKE,29.64,55,51,0.27
PENZANCE,29.77,54,53,0.85
PLYMOUTH,29.72,54,52,0.52
JERSEY,29.81,57,55,0
WEYMOUTH,29.69,57,52,0.29
PORTSMOUTH,29.65,58,52,0.25
DOVER,29.69,56,53,0.4
LONDON,29.67,55,51,0.21
YARMOUTH,29.6,56,50,0
SCARBOROUGH,29.47,55,53,0
SHIELDS,29.48,55,52,0
HELIGOLAND,29.75,60,59,0
HELDER,29.7,57,999,0
COPENHAGEN,29.89,64,999,0
BREST,29.85,56,999,0
BAYONNE,999,61,999,0
LISBON,30.18,66,999,0
