1863,8,12,Wednesday,DWR_1863_08-10.jpg
NAIRN,29.98,54,5,0
ABERDEEN,29.97,56,7,0
LEITH,30.04,58,6,0
SHIELDS,30.1,56,5,0
SCARBOROUGH,30.17,58,5,0
GREENCASTLE,30.08,58,3,0
GALWAY,30.14,59,1,0
VALENTIA,30.04,62,1,0.12
QUEENSTOWN,30.07,63,1,0
LIVERPOOL,30.12,61,5,0
HOLYHEAD,30.08,59,999,0
PEMBROKE,30.12,60,4,0
PENZANCE,30.11,60,999,0
BREST,30.08,61,2,0
LORIENT,30.04,59,999,0
ROCHEFORT,30.08,68,2,0
PLYMOUTH,30.09,63,6,0
WEYMOUTH,30.09,60,5,0
PORTSMOUTH,30.06,62,7,0
LONDON,30.11,60,6,0
DOVER,30.09,67,3,0
YARMOUTH,30.1,60,5,0
HELIGOLAND,30.02,69,4,0
