1863,4,14,Tuesday,DWR_1863_04-11.jpg
NAIRN,30.01,46,3,0
ABERDEEN,30.03,46,2,0
LEITH,29.98,46,2,0
ARDROSSAN,29.93,45,2,0
PORTRUSH,29.88,48,2,0
GALWAY,29.84,49,1,0
VALENTIA,29.83,46,1,999
QUEENSTOWN,29.86,52,1,0.22
HOLYHEAD,29.89,49,1,0.27
LIVERPOOL,29.95,46,2,0
PEMBROKE,29.93,50,3,0.13
PENZANCE,29.99,49,1,0
BREST,30.08,48,2,0.32
LORIENT,29.96,52,2,0
ROCHEFORT,30,52,1,0
PLYMOUTH,29.96,51,4,0
WEYMOUTH,29.95,51,2,0
PORTSMOUTH,29.94,51,4,0
KEW,29.98,45,2,0
LONDON,29.98,46,2,0
DOVER,29.98,49,2,0
YARMOUTH,29.99,45,2,0
SCARBOROUGH,29.98,46,2,0
SHIELDS,30.05,47,3,0
HELIGOLAND,30,43,0,0
COPENHAGEN,999,999,999,999
HELDER,29.99,46,999,0
LISBON,29.9,57,999,0
