1862,12,24,Wednesday,DWR_1862_12-22.jpg
NAIRN,29.84,45,2,0
ABERDEEN,29.9,42,1,0
LEITH,30,47,2,0
BERWICK,30.01,45,2,0
ARDROSSAN,30.03,47,1,0.12
PORTRUSH,999,44,1,0
GALWAY,30.24,48,0,0
VALENTIA,30.34,49,2,0
QUEENSTOWN,30.34,45,1,0
HOLYHEAD,30.23,48,1,0
LIVERPOOL,30.23,46,1,0
PEMBROKE,30.32,43,2,0
PENZANCE,30.41,49,1,0
PLYMOUTH,30.35,49,1,0
JERSEY,30.37,49,2,0.07
WEYMOUTH,30.34,48,2,0
PORTSMOUTH,30.27,46,2,0
DOVER,30.26,42,1,0
LONDON,30.25,43,1,0
YARMOUTH,30.21,41,1,0
SCARBOROUGH,30.13,45,1,0
SHIELDS,30.09,46,3,0
HELIGOLAND,30.04,34,1,0
HELDER,30.19,44,999,0
COPENHAGEN,29.78,33,999,0
BREST,30.42,48,1,0.28
LORIENT,30.32,48,2,0
ROCHEFORT,30.26,41,2,0
BAYONNE,999,38,999,0
LISBON,30.34,43,999,0
