1862,11,26,Wednesday,DWR_1862_11-22.jpg
NAIRN,29.79,24,999,0
ABERDEEN,29.78,29,999,0
LEITH,29.74,34,1,0
BERWICK,29.75,34,2,0
ARDROSSAN,29.7,33,1,0
PORTRUSH,999,33,2,0
GALWAY,29.65,36,2,0.15
VALENTIA,29.54,45,999,0
QUEENSTOWN,29.65,42,1,0
HOLYHEAD,29.69,34,1,0
LIVERPOOL,29.71,33,1,0
PEMBROKE,29.71,33,1,0
PENZANCE,29.72,36,1,0
PLYMOUTH,29.68,33,8,0
JERSEY,29.6,44,999,0.09
WEYMOUTH,29.63,38,2,0
PORTSMOUTH,29.59,40,2,0
DOVER,29.47,41,2,0
LONDON,29.55,40,2,0
YARMOUTH,29.54,43,1,0
SCARBOROUGH,29.64,41,0,0.1
SHIELDS,29.7,39,2,0
HELIGOLAND,29.53,39,0,0
HELDER,29.48,41,999,0
COPENHAGEN,29.57,38,999,0
BREST,29.65,43,999,999
LORIENT,999,999,999,999
ROCHEFORT,999,999,999,0
BAYONNE,999,48,999,0
LISBON,999,999,999,999
