1862,7,7,Monday,DWR_1862_07-6.jpg
NAIRN,29.53,51,49,0.15
ABERDEEN,29.47,52,49,0.41
LEITH,29.47,52,50,0
BERWICK,29.48,53,51,0.15
ARDROSSAN,29.45,53,51,0.46
PORTRUSH,29.47,52,50,0
GALWAY,29.55,56,54,0
VALENTIA,29.54,57,54,0
QUEENSTOWN,29.56,59,56,0
MILFORD,999,999,999,999
HOLYHEAD,29.47,55,54,0.22
LIVERPOOL,29.49,57,55,0.06
PENZANCE,29.6,58,57,0.45
PLYMOUTH,29.63,56,55,0.25
JERSEY,29.8,61,58,0
PORTLAND,29.69,59,57,0.07
PORTSMOUTH,29.69,60,56,0.33
DOVER,29.67,64,58,0
LONDON,29.64,58,53,0.22
YARMOUTH,29.54,59,56,0
SCARBOROUGH,29.45,56,55,0
SHIELDS,29.45,55,53,0
HELIGOLAND,29.5,57,56,0.3
HELDER,29.53,59,999,0
COPENHAGEN,29.41,59,999,0
BREST,29.7,58,999,0
BAYONNE,999,73,999,0
LISBON,999,999,999,999
