1863,2,19,Thursday,DWR_1863_02-15.jpg
NAIRN,30.45,39,2,0
ABERDEEN,30.51,38,1,0
LEITH,30.48,42,1,0
ARDROSSAN,30.46,44,2,0.1
PORTRUSH,30.42,40,1,0
GALWAY,30.41,46,1,0.2
VALENTIA,30.45,59,0,999
QUEENSTOWN,30.37,51,1,0
HOLYHEAD,30.41,44,1,0.47
LIVERPOOL,30.44,45,1,0.07
PEMBROKE,30.41,48,1,0.33
PENZANCE,30.47,44,1,0
JERSEY,999,999,999,999
BREST,30.47,32,3,0
LORIENT,30.39,34,1,0
ROCHEFORT,30.39,30,999,0
PLYMOUTH,30.44,44,1,0
WEYMOUTH,30.44,43,0,0.08
PORTSMOUTH,30.41,41,2,0.15
KEW,30.44,39,0,0
LONDON,30.43,41,1,0.15
YARMOUTH,30.41,43,1,0
SCARBOROUGH,30.48,43,1,0.35
SHIELDS,30.52,45,2,0
HELIGOLAND,30.3,40,0,0.12
COPENHAGEN,30.44,32,999,0
HELDER,30.41,42,999,0
BAYONNE,999,37,999,0
OPORTO,999,999,999,999
LISBON,30.32,46,999,0
