1863,12,3,Thursday,DWR_1863_12-2.jpg
NAIRN,28.97,34,1,0.21
ABERDEEN,28.95,35,0,0.65
LEITH,28.86,36,1,0.52
SHIELDS,28.81,44,2,0.7
SCARBOROUGH,28.77,43,1,0
GREENCASTLE,29.1,36,1,0.64
GALWAY,29.44,37,1,0.37
VALENTIA,29.61,41,2,0.7
CAPE CLEAR,29.6,41,0,0.5
QUEENSTOWN,29.35,40,1,0.36
LIVERPOOL,28.88,44,2,0.36
HOLYHEAD,29.02,43,3,0.42
PEMBROKE,29.27,44,5,0.53
PENZANCE,29.49,45,2,0.55
BREST,29.49,50,2,1.94
LORIENT,29.41,55,0,0.35
ROCHEFORT,29.8,57,0,0.04
PLYMOUTH,29.34,46,1,999
WEYMOUTH,29.25,48,4,0.87
PORTSMOUTH,29.14,47,0,0.62
LONDON,28.98,45,2,0.63
DOVER,29.08,50,0,1.02
YARMOUTH,28.96,49,1,0.9
HELIGOLAND,29.32,44,2,0.05
