1861,12,14,Saturday,DWR_1861_12-13.jpg
NAIRN,29.41,45,42,999
ABERDEEN,29.47,45,43,0.23
LEITH,29.58,48,45,999
BERWICK,29.52,48,45,999
ARDROSSAN,29.68,48,46,999
PORTRUSH,29.7,47,46,999
SHIELDS,29.65,46,43,999
GALWAY,29.93,47,46,999
SCARBOROUGH,29.69,45,43,999
LIVERPOOL,?29.88,47,45,0.12
VALENTIA,30.08,?48,47,999
QUEENSTOWN,29.94,46,45,999
YARMOUTH,29.82,44,43,999
LONDON,29.95,45,42,999
DOVER,29.97,46,45,999
PORTSMOUTH,?30.00,41,40,999
PORTLAND,30.01,47,46,0.03
PLYMOUTH,29.95,46,44,999
PENZANCE,30.1,44,42,999
COPENHAGEN,29.64,43,999,999
HELDER,29.8,47,999,999
BREST,30.06,41,999,999
BAYONNE,29.95,50,999,999
LISBON,30.03,50,999,999
